ID,Start time,Completion time,Email,Name,Your name  (FirstName LastName),Your student ID,Your workshop class,If you prefer to be in a team with particular students list their student IDs separated by commas (max. 6 student IDs):,What project option do you prefer?,What technologies/languages would you prefer to use in project?,Timezone in which the team should preferably work,Preferred week days for team work?,Preferred day/night times for team-work
13,9/11/22 15:39:25,9/11/22 15:40:28,s8814883@rmit.edu.au,On Hou,On Hou,s8814883,WRK01/02,s6087117;s5183473,Web-app,Java;Python;sql;C;C++,UTC+10,Monday;Tuesday;Wednesday;Thursday;Friday;,10am - 12pm
14,9/11/22 15:39:25,9/11/22 15:40:28,s7224712@rmit.edu.au,Nelson Oneal,Nelson Oneal,s7224712,WRK02/01,NONE,iOS app;Android app,Java;Python;sql;C;Perl,UTC+0,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
15,9/11/22 15:39:25,9/11/22 15:40:28,s312851@rmit.edu.au,Myrtle A. Crawford,Myrtle A. Crawford,s312851,WRK02/01,s4548782;s1424730,iOS app;Android app,Python,UTC+7,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
16,9/11/22 15:39:25,9/11/22 15:40:28,s6782273@rmit.edu.au,Mohammad Hodge,Mohammad Hodge,s6782273,WRK03/01,NONE,Desktop app;iOS app;Android app,Java;Python;sql;C,UTC-7,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 7pm
17,9/11/22 15:39:25,9/11/22 15:40:28,s2024156@rmit.edu.au,Martha Buckley,Martha Buckley,s2024156,WRK03/01,s3546345;s45676564;s8051990,Desktop app;iOS app;Android app,Java,UTC+3,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 10pm
18,9/11/22 15:39:25,9/11/22 15:40:28,s2057214@rmit.edu.au,Mario Weber,Mario Weber,s2057214,WRK03/01,s5183473;s7894303;s5183473,iOS app,Java;Python;sql;C,UTC+7,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
19,9/11/22 15:39:25,9/11/22 15:40:28,s901496@rmit.edu.au,Lucie Svobodov,Lucie Svobodov√,s901496,WRK01/02,s2862724;s8814883;s2404367;s6375414,Desktop app;iOS app;Android app,Java;Python;sql;C,UTC+11,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
20,9/11/22 15:39:25,9/11/22 15:40:28,s7777777@rmit.edu.au,Lilly Goodman,Lilly Goodman,s7777777,WRK05/01,s708358;s2024156;s8798545;s3256118,Web-app,C;C++;Python,UTC+7,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 7pm
21,9/11/22 15:39:25,9/11/22 15:40:28,s8798545@rmit.edu.au,Leroy Daniels,Leroy Daniels,s8798545,WRK05/01,s1214444;s1213456;s7777777,Web-app;Desktop app;iOS app;Android app,Java;Python,UTC-5,Monday;Tuesday;Wednesday;Thursday;Friday;,1pm - 10pm
22,9/11/22 15:39:25,9/11/22 15:40:28,s5183473@rmit.edu.au,Leon Post,Leon Post,s5183473,WRK03/01,s6782273;s45676564;s2024156,iOS app;Android app,Java;Python;sql;C++,UTC+3,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
23,9/11/22 15:39:25,9/11/22 15:40:28,s6087117@rmit.edu.au,Lauren Gross,Lauren Gross,s6087117,WRK05/01,s54654654;s1214444;s1213456;s7777777,iOS app;Android app,Java;Python;sql;C;Rust,UTC+6,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 10pm
24,9/11/22 15:39:25,9/11/22 15:40:28,s7778485@rmit.edu.au,Kirk Donovan,Kirk Donovan,s7778485,WRK01/02,NONE,Desktop app;Android app,Python;C++,UTC-5,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 10pm
25,9/11/22 15:39:25,9/11/22 15:40:28,s2679533@rmit.edu.au,Karin Hurd,Karin Hurd,s2679533,WRK04/01,s6153713,Desktop app,Java;sql;C,UTC+8,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 10pm
26,9/11/22 15:39:25,9/11/22 15:40:28,s6413164@rmit.edu.au,Joan King,Joan King,s6413164,WRK05/01,NONE,Web-app;Desktop app;iOS app;Android app,Java;Python,UTC-5,Monday;Tuesday;Wednesday;Thursday;Friday;,1pm - 10pm
27,9/11/22 15:39:25,9/11/22 15:40:28,s6776252@rmit.edu.au,Ida York,Ida York,s6776252,WRK03/01,s6413164;s5183473;s45676564;s2024156,Desktop app;iOS app;Android app,Java,UTC+3,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 10pm
28,9/11/22 15:39:25,9/11/22 15:40:28,s3256118@rmit.edu.au,Hilda Aldrich,Hilda Aldrich,s3256118,WRK05/01,s2404367;,Desktop app,Java;Python;sql;Dart,UTC+7,Monday;Tuesday;Wednesday;Thursday;Friday;,afternoon 1pm - 5pm
29,9/11/22 15:39:25,9/11/22 15:40:28,s2460166@rmit.edu.au,Hector Dominguez,Hector Dominguez,s2460166,WRK02/01,s2862724;s2665191,iOS app;Android app,Java;Python;sql;C,UTC+8,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
30,9/11/22 15:39:25,9/11/22 15:40:28,s1234567@rmit.edu.au,Harry Potter,Harry Potter,s1234567,WRK01/02,"s6365454,s123456,s17897",Web-app,Java;Python,Not important to me,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 10pm
31,9/11/22 15:39:25,9/11/22 15:40:28,s2862724@rmit.edu.au,Grace Lee,Grace Lee,s2862724,WRK03/01,s6776252;s124657;s6782273,Web-app,Java;Python;sql;C,UTC+5,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
32,9/11/22 15:39:25,9/11/22 15:40:28,s8051990@rmit.edu.au,Gale Garner,Gale Garner,s8051990,WRK03/01,s3392738;s6776252;s124657,iOS app,Java;Python;sql;C,UTC+7,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
33,9/11/22 15:39:25,9/11/22 15:40:28,s4497812@rmit.edu.au,Gail Caldwell,Gail Caldwell,s4497812,WRK03/01,s6782273;s2862724;s467116,Desktop app,C;C++,UTC-5,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
34,9/11/22 15:39:25,9/11/22 15:40:28,s6153713@rmit.edu.au,Felicia Bradford,Felicia Bradford,s6153713,WRK04/01,s5183473;s7894303;s498754,Desktop app,Java;Python;sql;C;JavaScript,UTC+8,Monday;Tuesday;Wednesday;Thursday;Friday;,afternoon 2pm - 5pm
35,9/11/22 15:39:25,9/11/22 15:40:28,s467116@rmit.edu.au,Erick Sims,Erick Sims,s467116,WRK03/01,s467116;s6824523,Web-app;Desktop app;iOS app;Android app,Java;Python;sql;C,UTC+2,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
36,9/11/22 15:40:28,9/11/22 15:40:28,s4444442@rmit.edu.au,Elton Krause,Elton Krause,s4444442,WRK01/02,NONE,Desktop app;Android app,Python;C,UTC-5,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 10pm
37,9/11/22 15:39:25,9/11/22 15:40:28,s4354669@rmit.edu.au,Elizabeth Preston,Elizabeth Preston,s4354669,WRK04/01,s7103503;s708358;s124657,iOS app;Android app,Python;sql;C,UTC+2,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 10pm
38,9/11/22 15:40:28,9/11/22 15:40:28,s17897@rmit.edu.au,Elba West,Elba West,s17897,WRK01/02,NONE,Desktop app;Web-app,Python;Java,UTC+1,Monday;Tuesday;Wednesday;Thursday;Friday;,morning 9am - 12pm
39,9/11/22 15:39:25,9/11/22 15:40:28,s4548782@rmit.edu.au,Edmundo Lambert,Edmundo Lambert,s4548782,WRK01/02,s1602133;s1602133,Web-app;iOS app,Java;Python;sql;C;C++,UTC+10,Monday;Tuesday;Wednesday;Thursday;Friday;,10am - 12pm
40,9/11/22 15:39:25,9/11/22 15:40:28,s6824523@rmit.edu.au,Dorothy Galvan,Dorothy Galvan,s6824523,WRK03/01,s2024156;s6776252,Desktop app;iOS app;Android app,Java;Python;sql;C,UTC+2,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
41,9/11/22 15:39:25,9/11/22 15:40:28,s2665191@rmit.edu.au,Donnie Blankenship,Donnie Blankenship,s2665191,WRK02/01,NONE,iOS app;Android app,JavaScript;Python;sql;C,UTC-6,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
42,9/11/22 15:39:25,9/11/22 15:40:28,s7894303@rmit.edu.au,Dolores Allen,Dolores Allen,s7894303,WRK03/01,s8051990;s5183473;s3546345,iOS app;Android app,C;C++,UTC-5,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
43,9/11/22 15:39:25,9/11/22 15:40:28,s3546345@rmit.edu.au,Diann Reynolds,Diann Reynolds,s3546345,WRK03/01,s498754,Web-app;Desktop app;iOS app;Android app,Java;Python;sql;C,UTC-7,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 7pm
44,9/11/22 15:39:25,9/11/22 15:40:28,s8998989@rmit.edu.au,Damion Livingston,Damion Livingston,s8998989,WRK05/01,NONE,iOS app;Android app,C;Java;C#;C++,UTC+5,Monday;Tuesday;Wednesday;Thursday;Friday;,1pm - 10pm
45,9/11/22 15:39:25,9/11/22 15:40:28,s54654654@rmit.edu.au,Claudette Liu,Claudette Liu,s54654654,WRK05/01,s8798545;s708358,Desktop app;iOS app;Android app,C;C++;Python,UTC+6,Monday;Tuesday;Wednesday;Thursday;Friday;,8pm - 10pm
46,9/11/22 15:39:25,9/11/22 15:40:28,s1424730@rmit.edu.au,Christian Stephens,Christian Stephens,s1424730,WRK02/01,s7224712;s498754;s1424730;s6782273,iOS app;Android app,Java;Python;sql;C++,UTC+1,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
47,9/11/22 15:39:25,9/11/22 15:40:28,s123456@rmit.edu.au,Carlo Dixon,Carlo Dixon,s123456,WRK01/02,s1111111;s6375414,Web-app,Java;Python,Not important to me,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 10pm
48,9/11/22 15:39:25,9/11/22 15:40:28,s6365454@rmit.edu.au,Bryant Joyce,Bryant Joyce,s6365454,WRK01/02,s5555555;s4444442;s17897;s8568555;s1234567;s1111111,Desktop app;iOS app,Python;C,UTC-5,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
49,9/11/22 15:39:25,9/11/22 15:40:28,s498754@rmit.edu.au,Brandi Bryan,Brandi Bryan,s498754,WRK04/01,s6087117,iOS app;Android app,Java;Python;C,UTC+4,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 10pm
50,9/11/22 15:39:25,9/11/22 15:40:28,s8568555@rmit.edu.au,Bonnie R. Johnson,Bonnie R. Johnson,s8568555,WRK01/02,s4444442;s17897,Web-app,Java;Python;sql;C,Not important to me,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 4pm-9pm;
51,9/11/22 15:39:25,9/11/22 15:40:28,s2429059@rmit.edu.au,Benjamin G. Mick,Benjamin G. Mick,s2429059,WRK01/02,s1111111;s3333333;s901496,Web-app,Java,Not important to me,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
52,9/11/22 15:39:25,9/11/22 15:40:28,s9871238@rmit.edu.au,Benita Blair,Benita Blair,s9871238,WRK05/01,s8798545;s7777777;s54654654,Web-app;Desktop app;iOS app;Android app,Java;Python,UTC-5,Monday;Tuesday;Wednesday;Thursday;Friday;,1pm - 10pm
53,9/11/22 15:39:25,9/11/22 15:40:28,s1111111@rmit.edu.au,Basil Little,Basil Little,s1111111,WRK01/02,s4548782;s3333333;s6375414;s901496,Web-app,Java;Python;sql;C,Not important to me,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 4pm-9pm;
54,9/11/22 15:39:25,9/11/22 15:40:28,s1214444@rmit.edu.au,Ann Li,Ann Li,s1214444,WRK05/01,s2404367;s54654654;s6413164;s8798545;s8998989,iOS app;Android app,C;sql,UTC+6,Monday;Tuesday;Wednesday;Thursday;Friday;,afternoon 2pm - 5pm
55,9/11/22 15:39:25,9/11/22 15:40:28,s124657@rmit.edu.au,Angeline Mcclure,Angeline Mcclure,s124657,WRK03/01,NONE,Web-app,Java;Python;sql;C,UTC+5,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
